Date,Open,High,Low,Close
08/25/2023,"25,996","26,229","25,831","26,066"
08/24/2023,"26,591","26,622","25,935","25,996"
08/23/2023,"25,845","26,765","25,469","26,598"
08/22/2023,"26,113","26,222","25,742","25,845"
08/21/2023,"26,295","26,304","25,848","26,113"
08/20/2023,"26,193","26,343","26,112","26,295"
08/19/2023,"26,163","26,369","25,883","26,197"
08/18/2023,"27,620","27,690","25,518","26,163"
08/17/2023,"28,934","28,952","27,576","27,623"
08/16/2023,"29,182","29,231","28,873","28,934"
08/15/2023,"29,373","29,452","29,095","29,179"
08/14/2023,"29,472","29,639","29,163","29,373"
08/13/2023,"29,479","29,518","29,388","29,471"
08/12/2023,"29,408","29,527","29,393","29,479"
08/11/2023,"29,442","29,529","29,311","29,408"
08/10/2023,"29,503","29,735","29,382","29,442"
08/09/2023,"29,996","30,176","29,397","29,503"
08/08/2023,"29,217","30,006","29,180","29,991"
08/07/2023,"29,151","29,227","28,774","29,217"
08/06/2023,"29,112","29,186","29,052","29,169"
08/05/2023,"28,965","29,139","28,965","29,112"
08/04/2023,"29,126","29,300","28,921","28,973"
08/03/2023,"29,124","29,185","29,046","29,126"
08/02/2023,"29,213","29,954","29,039","29,124"
08/01/2023,"29,180","29,326","28,697","29,213"
07/31/2023,"29,254","29,472","29,133","29,180"
07/30/2023,"29,359","29,435","29,134","29,254"
07/29/2023,"29,326","29,384","29,271","29,359"
07/28/2023,"29,117","29,486","29,109","29,326"
07/27/2023,"29,606","29,655","29,110","29,117"
07/26/2023,"29,227","29,637","29,132","29,606"
07/25/2023,"29,134","29,346","29,055","29,227"
07/24/2023,"30,144","30,145","28,952","29,134"
07/23/2023,"29,841","30,334","29,696","30,144"
07/22/2023,"29,890","29,996","29,817","29,841"
07/21/2023,"29,721","30,045","29,721","29,890"
07/20/2023,"29,968","30,396","29,682","29,721"
07/19/2023,"29,795","30,185","29,776","29,976"
07/18/2023,"29,932","30,250","29,718","29,795"
07/17/2023,"30,280","30,352","29,821","29,932"
07/16/2023,"30,323","30,438","30,152","30,280"
07/15/2023,"30,213","30,405","30,181","30,322"
07/14/2023,"31,355","31,552","30,047","30,213"
07/13/2023,"30,342","31,638","30,279","31,377"
07/12/2023,"30,577","30,833","30,267","30,342"
07/11/2023,"30,793","30,793","30,261","30,586"
07/10/2023,"30,203","30,979","30,001","30,793"
07/09/2023,"30,161","30,417","30,155","30,203"
07/08/2023,"30,245","30,378","30,106","30,161"
07/07/2023,"30,301","30,431","29,776","30,245"
07/06/2023,"30,466","31,431","29,957","30,301"
07/05/2023,"30,798","30,870","30,216","30,466"
07/04/2023,"31,117","31,311","30,656","30,793"
07/03/2023,"30,586","31,345","30,530","31,117"
07/02/2023,"30,575","30,646","30,266","30,586"
07/01/2023,"30,379","30,643","30,319","30,575"
06/30/2023,"30,408","31,234","29,637","30,379"
06/29/2023,"30,104","30,880","30,043","30,408"
06/28/2023,"30,656","30,735","29,922","30,104"
06/27/2023,"30,170","30,990","30,102","30,656"
06/26/2023,"30,377","30,622","29,944","30,170"
06/25/2023,"30,510","31,041","30,319","30,377"
06/24/2023,"30,937","30,937","30,295","30,510"
06/23/2023,"30,144","31,383","29,845","30,937"
06/22/2023,"29,936","30,449","29,665","30,144"
06/21/2023,"28,158","30,688","28,091","29,936"
06/20/2023,"26,701","28,203","26,646","28,158"
06/19/2023,"26,463","26,982","26,308","26,711"
06/18/2023,"26,532","26,675","26,380","26,463"
06/17/2023,"26,382","26,751","26,185","26,531"
06/16/2023,"25,534","26,446","25,222","26,382"
06/15/2023,"24,941","25,471","24,801","25,439"
06/14/2023,"25,860","26,044","24,900","24,941"
06/13/2023,"25,886","26,343","25,742","25,860"
06/12/2023,"26,135","26,151","25,677","25,886"
06/11/2023,"25,792","26,190","25,671","26,136"
06/10/2023,"26,443","26,521","25,460","25,792"
06/09/2023,"26,637","26,757","26,325","26,446"
06/08/2023,"26,354","26,764","26,153","26,637"
06/07/2023,"26,955","27,294","26,258","26,355"
06/06/2023,"25,641","27,176","25,407","26,955"
06/05/2023,"27,254","27,418","25,438","25,636"
06/04/2023,"27,082","27,294","26,967","27,254"
06/03/2023,"27,200","27,322","27,080","27,082"
06/02/2023,"26,866","27,284","26,590","27,200"
06/01/2023,"27,120","27,334","26,662","26,866"
05/31/2023,"27,777","27,837","26,884","27,120"
05/30/2023,"27,680","28,019","27,573","27,777"
05/29/2023,"27,552","28,419","27,537","27,680"
05/28/2023,"26,759","27,661","26,747","27,552"
05/27/2023,"26,752","26,832","26,629","26,759"
05/26/2023,"26,481","26,913","26,338","26,752"
05/25/2023,"26,443","26,614","25,924","26,481"
05/24/2023,"27,216","27,241","26,111","26,443"
05/23/2023,"26,895","27,429","26,802","27,216"
05/22/2023,"26,855","27,048","26,555","26,895"
05/21/2023,"27,027","27,255","26,819","26,855"
05/20/2023,"26,836","27,159","26,836","27,027"
05/19/2023,"26,741","27,139","26,642","26,836"
05/18/2023,"27,339","27,465","26,397","26,741"
05/17/2023,"26,959","27,449","26,587","27,339"
05/16/2023,"27,355","27,388","26,890","26,959"
05/15/2023,"26,949","27,652","26,761","27,355"
05/14/2023,"26,997","27,227","26,715","26,949"
05/13/2023,"26,451","27,082","26,451","26,998"
05/12/2023,"27,027","27,085","25,883","26,456"
05/11/2023,"27,884","27,887","26,767","27,027"
05/10/2023,"27,670","28,297","26,967","27,896"
05/09/2023,"27,565","27,837","27,403","27,670"
05/08/2023,"28,926","28,995","27,297","27,565"
05/07/2023,"28,961","29,261","28,834","28,926"
05/06/2023,"29,531","29,983","28,567","28,961"
05/05/2023,"28,891","29,677","28,776","29,531"
05/04/2023,"28,512","29,369","28,512","28,891"
05/03/2023,"28,705","28,794","28,173","28,512"
05/02/2023,"27,705","28,876","27,700","28,705"
05/01/2023,"29,348","29,482","27,705","27,705"
04/30/2023,"29,296","30,006","29,156","29,348"
04/29/2023,"29,350","29,537","29,123","29,296"
04/28/2023,"29,596","29,782","28,934","29,350"
04/27/2023,"28,289","29,856","28,152","29,596"
04/26/2023,"27,991","29,963","27,419","28,289"
04/25/2023,"27,434","28,043","27,183","27,991"
04/24/2023,"27,509","27,985","27,039","27,434"
04/23/2023,"27,798","28,003","27,489","27,509"
04/22/2023,"27,299","27,871","27,263","27,798"
04/21/2023,"28,196","28,352","27,213","27,299"
04/20/2023,"29,269","29,269","28,068","28,196"
04/19/2023,"30,403","30,405","29,123","29,269"
04/18/2023,"29,478","30,454","29,171","30,403"
04/17/2023,"30,339","30,410","29,292","29,474"
04/16/2023,"30,375","30,606","30,236","30,339"
04/15/2023,"30,442","30,691","30,312","30,375"
04/14/2023,"30,311","30,976","30,052","30,442"
04/13/2023,"29,963","30,557","29,818","30,311"
04/12/2023,"30,173","30,410","29,739","29,963"
04/11/2023,"29,111","30,488","29,089","30,173"
04/10/2023,"28,108","29,258","28,108","29,111"
04/09/2023,"27,961","28,298","27,899","28,108"
04/08/2023,"27,855","28,188","27,847","27,961"
04/07/2023,"27,982","28,103","27,801","27,855"
04/06/2023,"28,185","28,230","27,778","27,982"
04/05/2023,"28,266","28,722","27,826","28,185"
04/04/2023,"27,577","28,427","27,337","28,266"
04/03/2023,"28,089","28,463","27,573","27,573"
04/02/2023,"28,467","28,570","27,953","28,089"
04/01/2023,"28,392","28,815","28,316","28,467"
03/31/2023,"28,164","28,654","27,554","28,392"
03/30/2023,"28,385","29,140","27,770","28,154"
03/29/2023,"27,323","28,612","27,129","28,385"
03/28/2023,"27,041","27,492","26,674","27,329"
03/27/2023,"27,812","28,133","26,576","27,041"
03/26/2023,"27,387","28,186","27,384","27,811"
03/25/2023,"27,617","27,806","27,067","27,387"
03/24/2023,"28,312","28,447","27,548","27,632"
03/23/2023,"27,381","28,732","27,041","28,312"
03/22/2023,"28,117","28,796","26,700","27,360"
03/21/2023,"28,047","28,462","27,421","28,117"
03/20/2023,"27,963","28,502","27,201","28,047"
03/19/2023,"27,413","28,432","26,912","27,963"
03/18/2023,"26,791","27,788","26,791","27,413"
03/17/2023,"24,701","26,991","24,701","26,791"
03/16/2023,"24,369","25,187","24,215","24,701"
03/15/2023,"24,674","25,260","23,989","24,371"
03/14/2023,"24,126","26,425","23,951","24,674"
03/13/2023,"21,403","24,538","21,255","24,126"
03/12/2023,"20,453","21,432","20,392","21,397"
03/11/2023,"20,096","20,784","19,889","20,453"
03/10/2023,"20,244","20,475","19,594","20,091"
03/09/2023,"22,005","22,005","20,125","20,244"
03/08/2023,"22,050","22,267","21,883","22,006"
03/07/2023,"22,404","22,529","21,971","22,050"
03/06/2023,"22,482","22,571","22,313","22,401"
03/05/2023,"22,226","22,633","22,215","22,482"
03/04/2023,"22,246","22,411","22,170","22,224"
03/03/2023,"23,417","23,549","22,111","22,246"
03/02/2023,"23,542","23,783","23,219","23,427"
03/01/2023,"23,142","23,942","23,046","23,542"
02/28/2023,"23,386","23,613","23,056","23,159"
02/27/2023,"23,564","23,869","23,172","23,386"
02/26/2023,"22,951","23,677","22,931","23,565"
02/25/2023,"23,131","23,241","22,802","22,951"
02/24/2023,"23,897","24,118","22,934","23,131"
02/23/2023,"23,804","24,592","23,623","23,897"
02/22/2023,"24,183","24,468","23,604","23,804"
02/21/2023,"24,762","25,147","24,183","24,183"
02/20/2023,"24,544","25,098","23,896","24,762"
02/19/2023,"24,624","25,175","24,308","24,544"
02/18/2023,"24,593","24,839","24,116","24,624"
02/17/2023,"24,520","24,987","23,382","24,593"
02/16/2023,"24,173","25,193","24,145","24,520"
02/15/2023,"22,251","24,189","22,066","24,173"
02/14/2023,"21,624","22,304","21,611","22,251"
02/13/2023,"21,739","21,894","21,437","21,621"
02/12/2023,"21,829","22,086","21,714","21,739"
02/11/2023,"21,543","21,839","21,527","21,829"
02/10/2023,"21,841","21,940","21,507","21,543"
02/09/2023,"22,960","22,999","21,757","21,841"
02/08/2023,"23,191","23,405","22,711","22,960"
02/07/2023,"22,918","23,297","22,650","23,201"
02/06/2023,"22,896","23,150","22,643","22,918"
02/05/2023,"23,417","23,452","22,782","22,896"
02/04/2023,"23,380","23,575","23,278","23,417"
02/03/2023,"23,598","23,706","23,244","23,387"
02/02/2023,"23,678","24,205","23,581","23,598"
