vix.o,prev_vix.c,qqq.o,prev_qqq.c,aapl.o,prev_aapl.c,dji.o,prev_dji.c,dxy.o,prev_dxy.c,msft.o,prev_msft.c,smh.o,prev_smh.c,spy
32.84,32.95,272.18,271.39,130.07,130.06,29.0,29.0,103.88,103.63,244.7,244.97,102.5,101.99,1
30.35,29.62,275.59,282.8,132.08,135.43,30.0,30.0,104.9,105.16,245.98,251.76,105.08,108.42,0
32.39,32.69,279.42,275.91,134.29,132.76,30.0,30.0,105.35,105.52,248.31,244.49,107.76,106.47,1
33.01,34.02,277.66,275.41,133.13,131.88,30.0,30.0,105.19,105.08,243.86,242.26,106.91,105.69,0
26.26,26.09,293.65,299.4,140.28,142.64,32.0,32.0,103.34,103.22,260.58,264.79,114.05,116.21,0
24.29,23.96,305.91,307.64,147.08,147.96,32.0,32.0,102.56,102.54,267.78,270.41,118.58,119.39,0
24.37,24.02,309.05,309.87,148.58,148.71,33.0,33.0,102.39,102.32,271.71,272.5,121.37,121.93,0
25.54,25.07,303.81,307.22,144.35,146.14,32.0,32.0,102.49,102.44,266.64,268.75,119.44,120.96,1
24.91,24.72,309.03,314.38,146.9,151.21,32.0,33.0,101.75,101.82,270.31,274.58,121.82,124.53,0
25.73,25.69,304.85,306.0,147.83,148.71,32.0,32.0,102.55,102.5,264.45,272.42,120.16,120.28,1
26.05,26.19,310.47,308.28,149.9,148.84,33.0,32.0,101.76,101.75,275.2,271.87,122.86,122.29,0
27.5,27.5,302.54,299.33,145.39,143.78,32.0,32.0,101.72,101.83,268.48,265.9,120.05,118.12,1
28.42,28.37,290.44,291.26,137.39,140.52,32.0,32.0,102.02,102.06,262.27,262.52,113.19,114.3,1
29.33,29.45,285.71,287.24,138.43,140.36,31.0,31.0,101.77,101.86,258.14,259.62,111.49,111.97,1
29.43,28.48,288.13,293.48,140.81,143.11,31.0,31.0,102.11,102.08,257.89,260.65,113.11,115.0,1
28.78,29.35,293.13,289.58,139.09,137.35,31.0,31.0,102.9,102.72,257.24,253.14,116.02,114.03,0
31.24,30.96,289.29,291.14,139.88,140.82,31.0,31.0,103.83,103.81,253.9,254.08,113.24,114.0,1
26.74,26.1,301.54,306.17,146.85,149.24,32.0,32.0,103.34,103.36,263.0,266.82,117.75,119.72,0
27.07,27.47,304.45,298.44,148.86,145.54,32.0,32.0,104.17,104.19,266.11,261.5,117.38,114.26,1
31.09,31.77,295.72,291.15,144.59,142.56,31.0,31.0,104.77,104.85,257.35,255.35,112.61,110.35,1
33.74,32.56,287.45,291.84,142.77,146.5,31.0,31.0,104.01,103.85,257.69,260.55,108.63,109.83,1
32.87,32.99,298.44,300.76,153.5,154.51,32.0,32.0,103.9,103.92,265.68,269.5,112.2,113.3,0
33.66,34.75,304.51,297.15,155.52,152.06,32.0,32.0,103.73,103.65,271.69,264.58,113.81,110.45,0
32.23,31.2,310.95,313.0,156.01,156.77,32.0,32.0,103.56,103.75,274.81,277.35,116.55,117.54,1
25.97,25.42,325.17,329.6,163.85,166.02,33.0,34.0,102.68,102.59,285.54,289.98,121.27,123.33,0
29.12,29.25,319.31,318.82,159.67,159.48,33.0,33.0,103.46,103.47,282.59,281.78,120.0,119.24,1
31.76,32.34,318.5,318.48,158.15,157.96,33.0,33.0,103.6,103.74,283.96,284.47,117.86,118.27,1
28.97,29.99,323.7,328.01,161.84,163.64,33.0,33.0,103.67,103.62,288.61,289.63,117.97,120.25,0
29.91,31.6,321.85,316.76,159.25,156.57,33.0,33.0,103.04,102.95,285.19,283.22,116.21,113.76,1
31.11,33.52,317.24,317.14,155.91,156.8,33.0,33.0,102.28,101.75,282.1,270.22,112.98,114.31,1
27.38,27.02,327.47,329.58,162.25,162.88,33.0,34.0,101.73,101.75,277.5,280.72,118.16,119.4,0
22.71,22.68,334.31,334.15,166.46,166.42,34.0,34.0,100.62,100.58,281.68,280.81,119.98,120.12,0
20.24,20.32,345.19,341.21,168.91,167.23,35.0,35.0,100.35,100.39,288.58,286.36,125.02,123.51,0
21.13,21.37,347.09,346.26,168.76,167.4,34.0,34.0,100.98,100.96,289.4,285.3,125.79,123.73,0
22.55,22.17,338.03,338.69,165.02,165.07,34.0,34.0,100.83,100.78,279.38,280.52,120.47,121.15,1
21.72,21.82,346.44,346.35,170.62,170.4,34.0,34.0,99.79,99.88,288.09,287.62,123.49,122.85,0
23.52,24.26,339.8,339.45,167.39,167.66,34.0,34.0,100.34,100.29,282.73,282.06,121.15,120.0,1
24.94,24.37,345.76,340.89,168.02,165.75,34.0,34.0,100.04,99.93,289.24,285.26,123.07,120.65,0
21.25,21.55,352.32,354.1,171.78,172.14,34.0,34.0,99.82,99.75,300.44,301.37,125.72,126.43,0
21.97,22.1,352.24,353.26,171.16,171.83,34.0,34.0,99.65,99.6,296.66,299.5,125.86,126.41,1
21.27,21.03,355.65,361.1,172.36,175.06,34.0,34.0,99.47,99.47,305.19,310.88,126.38,129.08,0
18.79,18.57,367.81,369.3,177.5,178.44,34.0,34.0,99.0,99.0,313.27,314.97,133.97,134.9,0
20.62,20.56,362.81,362.54,174.03,174.61,34.0,34.0,98.34,98.31,309.37,308.31,135.4,134.9,0
19.68,19.33,367.24,367.09,177.84,177.77,35.0,35.0,97.83,97.79,313.9,313.86,137.38,137.69,0
19.38,18.9,369.28,371.19,178.55,178.96,35.0,35.0,98.37,98.4,313.76,315.41,140.98,141.8,0
19.7,19.63,368.9,364.91,176.69,175.6,35.0,34.0,99.08,99.09,313.91,310.7,141.22,138.67,1
21.87,21.67,359.59,359.65,173.88,174.07,34.0,34.0,98.75,98.79,305.23,304.1,138.05,138.24,1
23.61,23.57,353.8,351.83,171.06,170.21,34.0,34.0,98.64,98.62,299.14,299.49,133.41,131.83,1
23.04,22.94,354.01,356.96,167.99,168.82,34.0,34.0,98.48,98.49,300.51,304.06,133.9,135.21,0
24.02,23.53,350.59,350.08,165.51,165.38,34.0,34.0,98.49,98.5,299.8,299.16,134.3,134.28,1
26.36,25.67,342.74,344.44,160.51,160.62,34.0,34.0,98.0,97.97,295.37,295.22,130.64,131.75,1
26.51,26.67,338.37,340.32,158.61,159.59,33.0,34.0,98.5,98.62,293.29,294.39,129.64,130.93,1
29.02,29.83,332.17,328.15,157.05,155.09,33.0,33.0,98.89,99.1,289.11,287.15,126.59,124.35,1
33.13,31.77,320.88,318.17,150.9,150.62,32.0,32.0,99.13,99.0,280.35,276.44,120.46,119.35,1
30.43,30.23,334.32,331.27,158.93,158.52,33.0,33.0,98.36,98.51,287.96,285.59,127.6,125.72,0
33.03,32.45,330.82,334.99,160.2,162.95,33.0,33.0,98.06,97.97,283.02,288.5,126.12,128.5,1
33.74,35.13,331.75,323.35,161.48,157.44,32.0,32.0,99.12,99.06,283.44,275.85,127.44,123.15,1
36.19,36.45,324.05,324.86,158.82,159.3,32.0,32.0,99.24,99.29,277.8,278.91,121.51,121.32,0
31.9,30.48,339.84,342.26,164.49,166.23,33.0,33.0,98.04,97.79,294.29,295.92,129.78,131.21,1
30.52,30.74,349.93,347.22,168.47,166.56,33.0,33.0,97.47,97.39,302.89,300.19,134.52,134.1,0
34.2,33.32,343.08,341.49,164.39,163.2,33.0,33.0,97.37,97.41,295.36,294.95,130.82,129.85,1
29.45,30.15,345.75,346.8,164.7,165.12,33.0,33.0,96.77,96.71,296.4,298.79,133.62,134.08,0
31.68,30.32,341.31,340.49,163.84,162.74,33.0,33.0,97.0,97.14,295.14,294.59,133.27,133.38,1
37.5,31.02,318.84,329.42,152.58,160.07,32.0,33.0,96.22,96.19,272.51,280.27,123.97,128.96,1
28.04,28.81,341.32,338.08,165.54,164.32,33.0,33.0,96.04,96.03,290.18,287.72,133.88,131.72,0
26.66,28.11,346.41,345.45,169.82,168.88,34.0,34.0,95.83,95.8,293.05,290.73,134.57,134.12,0
24.83,24.29,352.74,356.04,171.03,172.55,34.0,34.0,95.77,95.7,296.36,299.5,137.98,139.72,0
25.19,25.7,353.82,356.13,171.85,172.79,34.0,34.0,96.01,95.99,298.37,300.47,137.99,139.74,1
28.09,28.33,352.91,347.49,170.97,168.88,34.0,34.0,96.24,96.37,300.01,295.0,135.51,132.54,1
24.39,23.91,358.43,358.43,172.33,172.12,35.0,35.0,95.94,95.55,303.19,302.38,140.0,139.81,0
20.37,19.96,359.52,366.73,174.14,176.28,35.0,35.0,95.57,95.49,304.04,311.21,140.93,144.13,0
21.27,21.44,363.76,359.12,176.05,174.83,35.0,35.0,95.59,95.64,309.87,304.56,141.4,139.28,1
23.09,22.86,353.96,355.13,171.73,171.66,35.0,35.0,95.43,95.4,301.25,300.95,135.59,136.48,1
23.77,24.35,354.08,353.55,171.68,172.9,35.0,35.0,95.31,95.38,300.21,301.25,134.97,135.53,1
22.63,22.09,358.53,368.49,174.48,175.84,35.0,35.0,96.02,95.94,309.49,313.46,138.32,141.82,0
21.56,21.96,369.76,365.52,174.75,174.61,35.0,35.0,96.27,96.39,309.63,308.76,141.33,138.29,1
24.57,24.83,364.43,363.05,174.01,174.78,35.0,35.0,96.7,96.54,310.41,310.98,138.65,137.7,1
30.27,30.49,343.03,341.1,165.71,159.22,34.0,34.0,97.25,97.26,300.23,299.84,128.21,128.35,1
32.19,31.96,349.4,344.57,162.45,159.69,34.0,34.0,96.55,95.95,302.66,296.71,135.42,134.07,0
29.35,31.16,352.91,345.11,163.5,159.78,34.0,34.0,95.96,95.95,307.99,288.49,136.23,132.17,0
32.29,29.9,346.67,353.3,158.98,161.62,34.0,34.0,95.93,95.92,291.52,296.37,133.72,137.62,1
25.38,25.59,359.47,361.72,164.42,164.51,34.0,34.0,95.81,95.74,302.69,301.6,137.5,138.18,0
23.46,23.85,369.79,366.48,166.98,166.23,35.0,35.0,95.59,95.51,309.07,303.33,143.72,142.54,0
23.12,22.79,372.15,370.55,170.0,169.8,35.0,35.0,95.77,95.73,306.29,302.65,147.95,146.59,0
20.11,20.31,375.07,377.66,171.34,172.19,35.0,36.0,94.87,94.79,304.25,304.8,149.24,150.27,1
18.06,17.62,388.77,387.35,175.78,175.53,36.0,36.0,94.99,94.92,320.47,318.27,156.0,152.93,0
18.17,18.41,388.46,385.82,176.12,175.08,36.0,36.0,95.58,95.62,319.67,314.98,152.92,151.64,0
19.62,19.4,379.36,380.11,172.32,172.19,36.0,36.0,95.93,95.99,313.38,314.27,148.24,148.64,1
19.85,19.61,384.03,384.02,172.89,172.0,36.0,36.0,96.26,96.32,314.15,313.88,152.81,153.1,0
20.29,19.73,382.42,384.29,172.7,174.92,36.0,36.0,96.2,96.17,313.15,316.38,151.47,151.6,1
17.07,16.91,394.74,396.47,179.61,179.7,36.0,36.0,96.31,96.26,325.86,329.01,155.76,156.98,0
16.57,16.6,402.24,401.68,182.63,182.01,36.0,36.0,96.19,96.21,334.83,334.75,158.5,157.8,0
17.63,17.33,399.66,400.35,178.09,178.2,36.0,36.0,95.99,95.97,338.51,339.32,155.01,154.92,0
17.3,16.95,401.33,401.55,179.47,179.38,36.0,36.0,95.89,95.93,341.91,341.95,156.53,156.7,0
17.63,17.54,401.75,401.61,179.33,179.29,36.0,36.0,96.15,96.2,341.3,341.25,156.55,156.72,1
17.78,17.68,404.4,403.48,180.16,180.33,36.0,36.0,96.07,96.09,343.15,342.45,158.92,158.28,0
18.81,18.63,394.31,393.95,175.85,175.64,35.0,35.0,96.03,96.08,332.75,333.2,153.24,152.82,1
21.04,21.01,388.91,389.21,173.04,172.99,35.0,35.0,96.47,96.49,328.3,327.29,150.03,151.02,1
22.28,22.87,384.05,380.69,171.56,169.75,35.0,34.0,96.54,96.55,323.29,319.91,148.86,145.76,1
20.7,20.57,383.33,386.84,169.93,172.26,35.0,35.0,96.0,96.04,320.88,324.9,147.03,148.34,0
18.56,19.29,398.04,397.05,179.28,179.3,36.0,35.0,96.43,96.51,335.71,334.65,155.84,155.08,0
21.6,21.89,387.94,388.2,175.11,174.33,35.0,35.0,96.55,96.57,328.61,328.34,149.08,148.92,1
19.67,20.31,387.3,392.26,175.25,175.74,35.0,35.0,96.35,96.32,333.22,339.4,147.87,149.79,1
21.27,21.58,396.62,393.73,175.21,174.56,35.0,35.0,96.22,96.27,334.98,333.1,155.56,152.81,1
20.31,19.9,398.35,399.61,174.91,175.08,35.0,35.0,95.96,95.89,334.41,334.97,155.55,156.6,0
21.74,21.89,398.17,397.83,172.13,171.18,35.0,35.0,96.26,96.37,335.31,334.92,156.42,157.28,1
24.58,27.18,393.03,386.2,169.08,165.32,35.0,35.0,96.3,96.33,331.64,326.19,153.5,150.0,1
26.95,27.95,391.31,389.91,164.02,163.76,34.0,34.0,96.12,96.16,331.99,329.49,153.38,152.31,0
29.44,31.12,385.8,387.12,158.74,164.77,34.0,34.0,96.07,96.03,330.3,330.08,150.25,151.91,1
24.92,27.19,398.28,393.82,167.48,165.3,34.0,34.0,95.94,95.99,335.13,330.59,155.33,152.45,0
26.23,22.96,398.78,399.69,159.99,160.24,35.0,35.0,96.22,96.34,335.32,336.63,155.07,155.71,0
19.17,19.38,394.93,397.48,160.75,161.41,35.0,35.0,96.53,96.49,336.28,337.68,151.17,152.63,1
20.24,19.17,398.11,399.3,161.12,161.02,35.0,35.0,96.46,96.55,337.05,339.83,152.94,153.75,1
17.36,17.59,403.43,401.75,157.65,157.87,35.0,35.0,95.59,95.54,342.64,341.27,154.82,155.12,0
16.81,17.11,399.73,397.63,153.71,153.49,35.0,35.0,95.8,95.83,338.18,339.12,154.91,151.4,1
16.36,16.37,397.75,397.42,151.0,151.0,36.0,36.0,95.94,95.92,338.94,339.51,152.35,152.3,0
16.86,16.49,393.86,394.61,149.94,150.0,36.0,36.0,95.47,95.41,335.68,336.07,149.95,150.35,1
17.49,17.66,391.77,390.59,148.43,147.87,35.0,35.0,95.18,95.18,333.92,332.43,149.52,149.04,1
18.34,18.73,392.57,389.51,148.96,147.92,36.0,36.0,94.84,94.85,331.25,330.8,148.75,146.4,0
17.74,17.78,392.47,395.32,150.02,150.81,36.0,36.0,93.98,93.96,334.57,335.95,148.19,151.17,0
17.43,17.22,399.16,398.06,150.2,150.44,36.0,36.0,94.09,94.05,337.11,336.99,152.51,150.97,0
15.59,15.44,400.04,398.22,151.89,150.96,36.0,36.0,94.34,94.35,338.51,336.44,148.34,147.15,0
15.06,15.1,394.48,393.18,151.58,151.49,36.0,36.0,93.86,93.86,332.89,334.0,142.65,141.3,1
16.11,16.03,389.55,389.05,150.39,150.02,36.0,36.0,94.12,94.09,333.9,333.13,140.08,139.92,1
16.54,16.41,386.8,387.43,148.66,148.96,35.0,35.0,93.93,93.88,330.31,329.37,138.38,138.39,1
17.4,16.53,381.06,384.22,147.22,152.57,35.0,35.0,93.36,93.35,324.13,324.35,135.37,136.43,1
17.06,16.98,381.95,380.0,149.82,148.85,35.0,35.0,93.88,93.8,324.33,323.17,135.57,133.88,1
15.79,15.98,379.58,379.12,149.36,149.32,35.0,35.0,93.97,93.95,316.0,310.11,134.24,135.02,0
15.02,15.24,380.23,377.93,149.33,148.64,35.0,35.0,93.97,93.81,311.0,308.13,135.77,134.26,0
15.35,15.01,375.98,377.27,149.69,149.48,35.0,35.0,93.75,93.77,310.4,310.76,134.6,134.77,0
16.06,15.49,374.16,374.98,148.81,149.26,35.0,35.0,93.58,93.56,307.17,307.41,132.36,133.25,1
15.82,15.7,375.94,375.47,148.7,148.76,35.0,35.0,93.81,93.73,309.21,308.23,133.49,133.84,1
16.09,16.31,373.75,372.65,147.01,146.55,35.0,35.0,93.95,93.95,308.35,307.29,132.51,132.33,1
16.64,16.86,367.88,366.63,143.77,143.76,35.0,34.0,94.03,94.08,302.34,302.75,131.25,130.2,1
18.01,18.64,363.69,360.0,142.11,140.91,34.0,34.0,94.02,94.08,299.21,296.31,129.26,126.41,1
20.14,19.85,359.51,357.14,141.24,141.51,34.0,34.0,94.52,94.52,294.91,292.88,126.46,125.34,1
20.62,20.0,359.88,358.39,143.23,142.81,34.0,34.0,94.37,94.32,295.34,294.23,127.36,126.62,0
19.46,19.54,364.08,362.97,144.03,143.29,34.0,34.0,94.21,94.22,296.22,294.85,129.2,128.63,0
20.54,21.0,362.8,359.67,143.06,142.0,34.0,34.0,94.23,94.27,295.18,293.11,128.84,127.05,1
22.95,21.3,354.08,357.38,139.47,141.11,34.0,34.0,93.99,93.98,285.78,288.76,125.2,126.66,1
22.92,22.96,353.71,352.62,139.49,139.14,34.0,34.0,93.83,93.78,284.05,283.11,125.91,124.91,1
24.78,23.14,358.6,357.96,141.9,141.5,33.0,33.0,94.31,94.23,282.12,281.92,128.74,128.14,1
21.48,22.56,360.97,359.28,143.66,142.83,34.0,34.0,94.35,94.34,285.71,284.0,129.1,128.28,0
22.07,23.25,361.17,359.87,142.47,141.91,34.0,34.0,93.72,93.77,285.1,283.52,130.33,130.25,0
19.74,18.76,365.67,370.35,143.25,145.37,34.0,34.0,93.41,93.38,289.8,294.17,132.83,135.71,0
19.33,18.63,370.65,372.98,145.66,146.83,34.0,34.0,93.07,93.46,298.23,299.56,135.5,136.57,1
19.91,20.87,370.76,369.57,146.65,145.85,34.0,34.0,93.48,93.46,298.85,298.58,135.74,134.87,1
22.72,24.36,367.09,366.15,144.45,143.43,34.0,33.0,93.23,93.2,296.73,294.8,133.19,132.48,1
23.41,25.71,367.58,365.7,143.93,142.94,34.0,33.0,93.24,93.28,295.69,294.3,133.05,132.2,0
18.37,18.69,377.82,378.31,148.82,148.79,34.0,34.0,92.88,92.93,304.17,305.22,137.5,137.93,0
18.41,18.18,376.68,378.05,148.44,149.03,34.0,34.0,92.46,92.55,303.76,304.82,136.64,137.73,0
19.3,19.46,375.73,375.26,148.56,148.12,34.0,34.0,92.68,92.62,303.26,299.79,137.15,137.25,1
19.58,19.37,377.86,376.33,150.35,149.55,34.0,34.0,92.62,92.68,299.56,296.99,137.63,137.16,0
17.94,18.8,381.23,379.47,155.0,154.07,34.0,34.0,92.53,92.48,298.42,297.25,136.26,135.12,0
19.44,17.96,381.01,380.78,155.49,155.11,35.0,35.0,92.71,92.65,300.82,300.21,134.65,134.57,0
18.97,18.14,381.93,382.11,156.98,156.69,35.0,35.0,92.54,92.51,299.78,300.18,135.66,136.37,1
16.27,16.41,379.22,380.4,153.76,153.65,35.0,35.0,92.22,92.23,300.99,301.15,135.41,135.54,1
16.27,16.11,381.97,380.58,153.87,152.51,35.0,35.0,92.51,92.45,302.2,301.83,135.44,135.21,0
16.06,16.48,381.04,379.95,152.83,151.83,35.0,35.0,92.66,92.63,302.87,301.88,136.07,135.42,0
15.98,16.19,380.51,380.26,152.66,153.12,35.0,35.0,92.71,92.65,304.42,303.59,136.8,136.45,0
17.95,18.84,373.07,372.42,147.48,147.54,35.0,35.0,93.03,93.06,298.99,299.09,133.76,133.61,1
17.46,16.79,373.92,374.8,148.35,148.36,35.0,35.0,92.83,92.83,300.99,302.01,133.32,133.4,0
17.42,17.22,374.63,374.37,149.81,149.62,35.0,35.0,92.88,92.89,304.3,302.62,132.42,131.97,1
16.96,17.15,373.84,373.23,149.45,149.71,35.0,35.0,92.99,92.96,305.02,304.65,132.19,131.88,1
22.74,21.67,365.06,363.96,147.44,146.7,34.0,34.0,93.56,93.57,299.72,296.77,127.94,127.64,1
23.12,21.57,360.22,362.21,145.03,146.36,34.0,34.0,93.14,93.14,288.69,290.73,125.52,126.53,1
17.56,17.91,365.18,365.73,149.8,150.19,35.0,35.0,93.14,93.13,292.04,293.08,128.08,128.19,0
17.31,16.12,366.15,368.98,150.23,151.12,35.0,35.0,92.62,92.63,292.39,294.6,129.45,130.66,0
15.68,15.59,367.89,367.53,148.97,148.89,35.0,35.0,92.97,93.04,289.48,289.81,130.47,130.38,1
16.33,16.06,365.69,366.21,146.19,145.86,35.0,35.0,92.89,92.92,286.63,286.95,131.14,131.82,1
16.81,16.79,368.14,366.84,146.05,145.6,35.0,35.0,93.07,93.06,287.21,286.44,132.71,132.17,0
16.82,16.72,369.26,368.73,146.44,146.09,35.0,35.0,92.98,92.95,288.8,288.33,134.31,133.88,1
17.46,17.28,368.37,369.67,146.35,147.06,35.0,35.0,92.27,92.24,288.51,289.52,134.01,135.01,1
17.73,17.97,368.18,367.34,146.98,146.95,34.0,34.0,92.28,92.27,286.88,286.51,135.59,135.16,1
18.23,18.04,366.77,366.81,147.27,147.36,35.0,35.0,92.04,92.08,286.22,287.12,134.1,133.7,0
19.17,19.46,365.28,364.6,145.81,145.52,34.0,34.0,92.06,92.05,285.42,284.82,132.77,132.5,1
19.69,17.7,362.44,366.48,144.38,145.64,35.0,35.0,91.85,91.86,285.17,286.5,129.57,130.91,1
17.91,18.31,365.25,365.83,144.69,144.98,34.0,34.0,92.27,92.32,286.24,286.22,128.62,128.5,1
19.41,19.36,365.6,364.43,144.81,146.77,35.0,35.0,92.46,92.43,288.99,286.54,126.65,126.24,0
18.62,17.58,368.22,368.49,149.12,148.99,35.0,35.0,92.63,92.65,289.43,289.05,127.66,128.51,0
16.98,17.69,365.31,363.95,147.55,146.8,34.0,34.0,92.81,92.82,287.37,286.14,128.31,127.73,1
17.59,17.91,361.77,361.56,145.94,145.4,34.0,34.0,92.8,92.75,283.84,281.4,127.71,128.5,1
19.73,19.73,358.35,358.79,145.53,146.15,34.0,34.0,92.97,92.97,278.91,279.32,125.5,124.91,1
20.89,22.5,355.63,354.67,143.46,142.45,33.0,33.0,92.88,92.89,278.03,277.01,123.86,123.4,1
16.8,17.01,361.4,360.52,148.46,148.48,35.0,34.0,92.59,92.62,282.07,281.03,126.83,126.07,0
16.7,16.33,362.98,363.07,149.24,149.15,34.0,34.0,92.4,92.41,282.0,282.51,128.76,129.62,0
17.34,17.12,364.83,362.42,148.1,145.64,34.0,34.0,92.8,92.75,282.35,280.98,131.33,129.91,0
16.39,16.17,362.03,362.42,144.03,144.5,34.0,34.0,92.23,92.26,277.52,277.32,129.81,130.19,0
17.88,19.0,358.17,358.77,142.75,143.24,34.0,34.0,92.36,92.42,275.72,277.42,127.03,126.35,1
17.74,16.2,355.74,360.95,141.58,144.57,34.0,34.0,92.7,92.64,276.9,279.93,125.5,128.06,1
16.43,16.44,362.45,360.19,143.54,142.02,34.0,34.0,92.53,92.55,279.4,277.66,130.62,129.86,1
15.53,15.48,356.52,354.57,137.9,137.27,34.0,34.0,92.57,92.6,272.82,271.6,130.23,129.19,1
15.62,15.83,354.07,354.43,136.6,136.96,34.0,34.0,92.35,92.44,269.61,270.9,130.79,131.12,1
16.18,16.02,354.83,354.99,136.17,136.33,34.0,34.0,92.08,92.05,270.69,271.4,130.8,130.98,1
15.69,15.76,353.53,353.71,134.8,134.78,34.0,34.0,91.88,91.89,268.87,268.72,129.85,129.85,0
16.04,15.97,350.47,349.89,133.46,133.41,34.0,34.0,91.83,91.81,266.23,266.69,127.54,127.28,1
15.99,16.32,349.73,347.74,134.45,133.7,33.0,33.0,91.8,91.8,266.16,265.28,126.47,125.23,1
16.25,16.66,347.51,347.57,133.77,133.98,33.0,33.0,91.73,91.76,265.99,265.51,124.97,124.6,0
17.91,17.89,344.15,344.36,132.13,132.3,33.0,33.0,91.88,91.9,262.72,262.63,123.89,123.79,1
16.96,17.75,343.63,345.34,130.71,131.79,33.0,33.0,91.88,91.89,259.63,260.9,125.61,126.69,0
18.49,18.15,339.97,341.01,129.8,130.15,34.0,34.0,91.43,91.13,256.07,257.38,124.81,125.28,1
16.99,17.02,342.74,342.26,130.37,129.64,34.0,34.0,90.54,90.54,259.4,258.36,126.74,126.34,0
16.27,16.39,344.15,344.51,129.94,130.48,34.0,34.0,90.48,90.52,259.78,259.89,127.05,127.44,0
16.18,16.1,340.36,340.35,126.53,126.11,34.0,34.0,90.07,90.08,257.99,257.24,125.75,125.3,1
18.18,17.89,337.19,336.84,127.02,127.13,34.0,34.0,90.14,90.12,254.29,253.59,123.72,123.69,1
17.18,17.07,338.17,336.76,127.21,126.74,34.0,34.0,90.13,90.08,253.81,252.57,124.57,124.07,0
16.58,16.42,338.4,336.6,126.6,125.9,34.0,34.0,89.99,89.95,255.16,253.81,125.96,125.1,0
18.09,18.04,331.85,330.0,124.07,123.54,34.0,34.0,90.47,90.51,247.76,245.71,124.18,123.0,1
17.73,17.48,330.55,333.47,124.68,125.06,34.0,34.0,89.93,89.91,245.22,247.3,123.85,125.14,1
17.86,17.9,333.25,332.82,124.28,124.28,34.0,34.0,89.92,89.83,248.13,247.4,124.25,124.41,0
16.8,16.74,334.12,332.88,125.57,125.28,34.0,34.0,90.03,89.97,251.0,249.31,123.59,123.22,0
18.03,17.36,333.67,334.13,126.44,126.85,34.0,34.0,90.08,90.04,251.17,251.49,122.39,122.63,0
18.37,18.84,333.66,332.97,126.96,126.9,34.0,34.0,89.69,89.64,251.43,251.72,122.5,122.5,1
18.35,18.4,334.07,332.51,127.82,127.1,34.0,34.0,89.85,89.84,251.77,250.78,122.76,121.7,0
20.42,20.67,330.43,328.83,127.82,127.31,34.0,34.0,89.78,89.81,247.57,246.48,120.4,119.69,0
22.33,22.18,324.12,322.59,125.23,124.69,33.0,33.0,90.21,90.19,243.96,243.12,117.75,116.79,1
22.46,21.34,316.66,322.22,123.16,124.85,33.0,34.0,89.78,89.75,239.31,243.08,112.14,114.74,1
18.89,19.72,325.39,324.41,126.56,126.27,34.0,34.0,90.18,90.16,246.27,245.18,116.46,115.37,0
21.77,23.13,322.6,319.34,126.25,124.97,34.0,34.0,90.76,90.75,245.58,243.03,114.83,113.09,1
26.03,27.59,319.92,316.89,124.58,122.77,33.0,33.0,90.75,90.71,241.8,239.0,113.69,111.82,1
22.42,21.84,320.23,325.31,123.4,125.91,34.0,34.0,90.19,90.14,242.17,246.23,114.06,116.63,0
21.17,19.66,319.7,325.76,123.5,126.85,34.0,34.0,90.24,90.21,244.55,247.18,112.99,116.4,1
18.45,18.39,334.37,331.51,130.85,129.74,34.0,34.0,90.88,90.95,252.15,249.73,121.79,120.11,1
18.41,19.15,328.76,329.03,127.89,128.1,34.0,34.0,91.27,91.31,246.45,246.47,118.88,119.13,1
18.84,19.48,332.25,330.14,129.2,127.85,34.0,34.0,91.28,91.29,249.06,247.79,119.89,118.6,0
18.16,18.31,333.56,336.19,131.19,132.54,34.0,34.0,91.0,90.95,250.97,251.86,118.76,120.09,0
17.67,17.61,337.7,340.22,131.78,133.48,33.0,34.0,90.63,90.61,249.74,252.51,123.03,125.12,0
16.88,17.28,342.37,339.0,136.47,133.58,33.0,33.0,90.55,90.61,255.46,254.56,125.6,123.98,0
17.47,17.56,339.81,340.15,134.31,134.39,33.0,33.0,90.9,90.91,256.08,261.97,125.6,125.99,0
17.62,17.64,341.93,341.63,135.01,134.72,33.0,33.0,90.88,90.81,261.59,261.55,127.05,126.73,0
18.56,18.71,335.85,335.2,132.16,131.94,33.0,33.0,91.29,91.33,257.88,257.17,122.39,121.8,1
17.28,17.5,338.89,339.29,133.04,133.5,34.0,34.0,91.11,91.16,260.21,260.58,124.5,124.56,0
18.48,18.68,335.09,336.41,132.36,133.11,33.0,33.0,91.21,91.24,258.94,258.26,121.62,121.36,1
17.36,17.29,338.2,338.88,135.02,134.84,34.0,34.0,91.05,91.07,257.82,258.74,122.65,123.08,0
16.65,16.57,342.15,341.61,134.3,134.5,34.0,34.0,91.66,91.69,259.47,259.5,126.78,126.7,1
16.78,16.99,339.47,336.51,133.82,132.03,33.0,33.0,91.63,91.69,257.93,255.59,126.47,125.1,1
16.71,16.65,340.85,340.6,134.94,134.43,33.0,33.0,91.83,91.85,257.48,258.49,126.38,126.31,0
16.99,16.91,338.24,336.67,132.44,131.24,33.0,33.0,92.08,92.14,257.26,255.91,127.57,126.56,1
17.05,16.95,333.68,335.08,129.8,130.36,33.0,33.0,92.07,92.06,252.87,253.25,127.49,128.34,1
