Date,Open,High,Low,Close,Volume
08/25/2023,"362.07","365.74","358.58","364.02","69,960,469"
08/24/2023,"372.64","372.74","361.01","361.22","66,842,484"
08/23/2023,"364.58","370.22","364.36","369.11","51,770,602"
08/22/2023,"366.55","366.56","362.68","363.38","44,613,512"
08/21/2023,"359.62","364.59","359.15","363.90","50,696,520"
08/18/2023,"355.26","359.41","354.71","358.13","61,191,391"
08/17/2023,"363.96","364.31","358.16","358.58","62,604,340"
08/16/2023,"365.87","367.43","362.44","362.54","53,190,527"
08/15/2023,"369.36","370.17","365.74","366.42","45,539,887"
08/14/2023,"365.43","370.47","364.70","370.35","42,130,801"
08/11/2023,"365.99","368.00","364.69","366.24","48,707,191"
08/10/2023,"370.97","374.36","367.04","368.59","72,035,273"
08/09/2023,"372.29","372.45","367.14","367.91","51,150,898"
08/08/2023,"372.64","372.66","368.82","372.00","44,726,449"
08/07/2023,"373.88","375.29","371.51","375.19","37,230,441"
08/04/2023,"375.75","378.10","371.53","372.04","61,702,762"
08/03/2023,"371.94","375.95","371.77","373.79","47,855,379"
08/02/2023,"379.26","379.26","373.13","374.39","72,687,109"
08/01/2023,"382.31","383.56","380.69","382.79","41,308,461"
07/31/2023,"383.79","384.88","382.34","383.68","44,019,910"
07/28/2023,"380.74","384.52","380.22","383.48","56,902,930"
07/27/2023,"383.07","384.71","375.31","376.62","63,940,230"
07/26/2023,"377.72","379.24","375.18","377.52","47,075,711"
07/25/2023,"376.95","380.47","376.93","378.78","38,894,379"
07/24/2023,"376.62","377.58","374.34","376.23","40,380,059"
07/21/2023,"379.18","379.92","375.19","375.63","60,499,641"
07/20/2023,"382.61","384.10","375.72","376.76","71,941,672"
07/19/2023,"386.82","387.98","384.30","385.65","54,092,961"
07/18/2023,"381.96","387.13","380.00","385.74","55,343,441"
07/17/2023,"379.80","383.50","379.31","382.61","40,868,922"
07/14/2023,"379.59","382.86","378.18","379.07","55,148,500"
07/13/2023,"376.05","379.99","375.46","379.15","46,960,008"
07/12/2023,"372.34","374.19","370.30","372.82","61,703,699"
07/11/2023,"366.79","368.63","364.62","368.17","38,214,152"
07/10/2023,"365.96","367.05","363.41","366.36","48,498,801"
07/07/2023,"367.23","370.48","366.01","366.24","47,133,754"
07/06/2023,"366.51","367.91","364.52","367.46","49,374,727"
07/05/2023,"368.70","372.01","368.66","370.28","34,460,879"
07/03/2023,"370.07","370.93","368.97","370.29","19,379,820"
06/30/2023,"367.55","370.49","367.23","369.42","58,712,500"
06/29/2023,"364.24","364.89","362.14","363.81","46,150,969"
06/28/2023,"361.98","366.52","361.90","364.54","46,498,031"
06/27/2023,"359.25","364.57","358.51","363.83","49,428,090"
06/26/2023,"362.00","364.84","357.59","357.68","52,685,480"
06/23/2023,"362.21","364.88","360.82","362.54","48,922,910"
06/22/2023,"360.63","366.33","360.22","366.17","47,603,039"
06/21/2023,"365.74","366.18","360.96","361.90","53,378,262"
06/20/2023,"365.95","368.32","363.89","366.90","49,204,719"
06/16/2023,"372.72","372.85","367.48","367.93","80,931,969"
06/15/2023,"364.61","371.77","363.98","370.26","71,138,812"
06/14/2023,"363.27","366.19","360.42","365.90","69,525,641"
06/13/2023,"363.29","364.11","360.03","363.26","57,097,801"
06/12/2023,"356.19","360.59","355.20","360.49","44,817,648"
06/09/2023,"354.63","357.66","353.03","354.50","53,196,930"
06/08/2023,"349.12","353.62","348.89","353.15","47,153,922"
06/07/2023,"355.13","357.12","348.18","348.82","69,225,938"
06/06/2023,"354.28","355.82","352.93","354.84","41,390,398"
06/05/2023,"354.43","357.50","353.85","354.90","47,266,230"
