Date,Open,High,Low,Close,Volume
02/07/2023,"408.87","416.49","407.57","415.19","90,990,750"
02/06/2023,"409.79","411.29","408.10","409.83","60,295,328"
02/03/2023,"411.59","416.97","411.09","412.35","94,736,781"
02/02/2023,"414.86","418.31","412.88","416.78","101,654,492"
02/01/2023,"405.21","413.67","402.35","410.80","101,459,203"
01/31/2023,"401.13","406.53","400.77","406.48","86,811,789"
01/30/2023,"402.80","405.13","400.28","400.59","74,202,016"
01/27/2023,"403.66","408.16","403.44","405.68","68,346,180"
01/26/2023,"403.13","404.92","400.03","404.75","72,287,430"
01/25/2023,"395.95","400.70","393.56","400.35","84,800,250"
01/24/2023,"398.88","401.15","397.64","400.20","59,524,910"
01/23/2023,"396.72","402.65","395.72","400.63","84,178,797"
01/20/2023,"390.10","396.04","388.38","395.88","91,806,359"
01/19/2023,"389.36","391.08","387.26","388.64","86,958,922"
01/18/2023,"399.01","400.12","391.28","391.49","99,632,258"
01/17/2023,"398.48","400.23","397.06","397.77","62,677,281"
01/13/2023,"393.62","399.10","393.34","398.50","63,903,930"
01/12/2023,"396.67","398.49","392.42","396.96","90,157,695"
01/11/2023,"392.23","395.60","391.38","395.52","68,881,078"
01/10/2023,"387.25","390.65","386.27","390.58","65,358,090"
01/09/2023,"390.37","393.70","387.67","387.86","73,978,070"
01/06/2023,"382.61","389.25","379.41","388.08","104,189,602"
01/05/2023,"381.72","381.84","378.76","379.38","76,970,461"
01/04/2023,"383.18","385.88","380.00","383.76","85,934,094"
01/03/2023,"384.37","386.43","377.83","380.82","74,850,727"
12/30/2022,"380.64","382.58","378.43","382.43","84,022,211"
12/29/2022,"379.63","384.35","379.08","383.44","66,970,883"
12/28/2022,"381.33","383.39","376.42","376.66","70,911,523"
12/27/2022,"382.79","383.15","379.65","381.40","51,638,180"
12/23/2022,"379.65","383.06","378.03","382.91","59,857,328"
12/22/2022,"383.05","386.21","374.77","380.72","100,120,898"
12/21/2022,"383.25","387.41","382.69","386.23","78,167,367"
12/20/2022,"379.23","382.23","377.85","380.54","74,427,242"
12/19/2022,"383.47","383.82","378.28","380.02","79,878,094"
12/16/2022,"385.18","386.58","381.04","383.27","119,858,000"
12/15/2022,"394.30","395.25","387.89","389.63","117,705,906"
12/14/2022,"401.61","405.50","396.31","399.40","108,111,297"
12/13/2022,"410.22","410.49","399.07","401.97","123,782,492"
12/12/2022,"394.11","398.95","393.41","398.95","75,405,844"
12/09/2022,"394.94","397.62","393.15","393.28","81,447,727"
12/08/2022,"395.14","397.36","393.27","396.24","60,737,910"
12/07/2022,"392.94","395.64","391.97","393.16","65,927,898"
12/06/2022,"399.42","399.99","391.64","393.83","77,972,227"
12/05/2022,"403.95","404.93","398.17","399.59","77,289,820"
12/02/2022,"402.25","407.86","402.14","406.91","85,342,727"
12/01/2022,"408.77","410.00","404.75","407.38","76,398,172"
11/30/2022,"395.49","407.68","393.48","407.68","144,566,703"
11/29/2022,"396.05","397.30","393.30","395.23","52,310,039"
11/28/2022,"399.09","400.81","395.11","395.91","68,021,750"
11/25/2022,"401.83","402.91","401.54","402.33","30,545,430"
11/23/2022,"399.55","402.93","399.31","402.42","68,261,633"
11/22/2022,"396.63","400.07","395.15","399.90","60,429,031"
11/21/2022,"394.64","395.82","392.66","394.59","51,243,191"
11/18/2022,"397.74","397.81","393.04","396.03","92,922,445"
11/17/2022,"390.46","394.95","390.14","394.24","74,496,258"
11/16/2022,"396.78","397.78","394.79","395.45","68,508,445"
11/15/2022,"401.15","402.31","394.49","398.49","93,194,445"
11/14/2022,"396.66","400.18","394.83","395.12","71,893,172"
11/11/2022,"395.59","399.35","393.61","398.51","93,839,875"
11/10/2022,"388.05","395.04","385.64","394.69","141,455,812"
11/09/2022,"379.93","381.14","373.61","374.13","78,495,469"
11/08/2022,"381.11","385.12","377.72","382.00","84,641,055"
11/07/2022,"377.71","380.57","375.53","379.95","68,286,953"
11/04/2022,"377.00","378.87","370.00","376.35","103,505,203"
11/03/2022,"371.47","374.20","368.79","371.01","87,100,117"
11/02/2022,"383.90","388.63","374.76","374.87","126,990,398"
11/01/2022,"390.14","390.39","383.29","384.52","85,407,602"
10/31/2022,"386.44","388.40","385.26","386.21","96,631,266"
10/28/2022,"379.87","389.52","379.68","389.02","100,302,000"
10/27/2022,"383.07","385.00","379.33","379.98","81,971,758"
10/26/2022,"381.62","387.58","381.35","382.02","104,087,297"
10/25/2022,"378.79","385.25","378.67","384.92","78,846,352"
10/24/2022,"375.89","380.06","373.11","378.87","85,436,914"
10/21/2022,"365.12","374.80","363.54","374.29","131,038,398"
10/20/2022,"368.03","372.67","364.61","365.41","88,283,086"
10/19/2022,"368.99","371.85","365.55","368.50","79,746,867"
10/18/2022,"375.13","375.45","367.52","371.13","97,162,852"
10/17/2022,"364.01","367.98","357.28","366.82","93,168,234"
10/14/2022,"368.55","370.26","356.96","357.63","123,737,000"
10/13/2022,"349.21","367.51","348.11","365.97","147,254,500"
10/12/2022,"358.17","359.82","356.30","356.56","76,991,797"
10/11/2022,"358.24","363.03","355.71","357.74","92,482,789"
10/10/2022,"363.96","364.21","357.67","360.02","76,042,766"
10/07/2022,"368.97","373.29","360.94","362.79","107,789,508"
